DatasetFile,Runs,Avg_Makespan,Std_Makespan,Avg_Throughput,Std_Throughput,Avg_AvgExecTime,Std_AvgExecTime,Avg_Imbalance,Std_Imbalance,Avg_Utilization(%),Std_Utilization(%)
RandSimple1000.txt,10,663.7370,0.0000,1.506621,0.000000,444.5017,0.0000,0.549706,0.000000,1240.1769,0.0000
RandSimple10000.txt,10,5998.2290,0.0000,1.667159,0.000000,4328.7253,0.0000,0.216080,0.000000,13364.2078,0.0000
RandSimple2000.txt,10,1257.7680,0.0000,1.590118,0.000000,877.3280,0.0000,0.353394,0.000000,2583.4360,0.0000
RandSimple3000.txt,10,1898.6460,0.0000,1.580073,0.000000,1314.3461,0.0000,0.317549,0.000000,3845.8579,0.0000
RandSimple4000.txt,10,2436.0030,0.0000,1.642034,0.000000,1735.2111,0.0000,0.277030,0.000000,5276.4368,0.0000
RandSimple5000.txt,10,3079.7190,0.0000,1.623525,0.000000,2160.8549,0.0000,0.284589,0.000000,6496.6692,0.0000
RandSimple6000.txt,10,3704.8790,0.0000,1.619486,0.000000,2598.6364,0.0000,0.257710,0.000000,7793.4360,0.0000
RandSimple7000.txt,10,4271.7910,0.0000,1.638657,0.000000,3033.9598,0.0000,0.248527,0.000000,9206.7023,0.0000
RandSimple8000.txt,10,4836.3000,0.0000,1.654157,0.000000,3474.7970,0.0000,0.218631,0.000000,10644.1856,0.0000
RandSimple9000.txt,10,5377.5930,0.0000,1.673611,0.000000,3904.1236,0.0000,0.210982,0.000000,12099.9723,0.0000
