DatasetFile,Run,TotalCloudlet,TotalCPUTime(s),TotalWaitTime(s),AvgStartTime(s),AvgExecTime(s),AvgFinishTime(s),Throughput(c/s),Makespan(s),ImbalanceDegree,ResourceUtilization(%)
RandStratified1000.txt,1,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,2,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,3,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,4,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,5,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,6,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,7,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,8,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,9,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified1000.txt,10,1000,844402.1080,0.0000,0.3000,844.4021,844.7021,0.093742,10667.6280,0.799135,146.5844
RandStratified10000.txt,1,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,2,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,3,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,4,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,5,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,6,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,7,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,8,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,9,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified10000.txt,10,10000,79579675.5920,0.0000,0.3000,7957.9676,7958.2676,0.202925,49279.3550,0.059936,2990.4971
RandStratified2000.txt,1,2000,3258917.9490,0.0000,0.3000,1629.4590,1629.7590,0.136850,14614.5770,0.336064,412.9461
RandStratified2000.txt,2,2000,3258917.9490,0.0000,0.3000,1629.4590,1629.7590,0.136850,14614.5770,0.336064,412.9461
