Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
6000,1,15604097.2990,0.0000,0.4000,2600.6829,2601.0829,1.652247,3631.8173,0.295326,0.915021,13074542.2529
6000,2,15712554.5430,0.0000,0.4000,2618.7591,2619.1591,1.650479,3635.7074,0.314163,0.921358,13088546.5533
6000,3,15691061.7370,0.0000,0.4000,2615.1770,2615.5770,1.657194,3620.9789,0.274057,0.923644,13035524.1061
6000,4,15475106.2826,0.0000,0.4000,2579.1844,2579.5844,1.692264,3545.9453,0.356270,0.929867,12765403.2151
6000,5,15756657.0108,0.0000,0.4000,2626.1095,2626.5095,1.627926,3686.0711,0.324019,0.910191,13269855.9748
6000,6,15306322.9031,0.0000,0.4000,2551.0538,2551.4538,1.688992,3552.8145,0.337659,0.917529,12790132.0606
6000,7,15386806.1512,0.0000,0.4000,2564.4677,2564.8677,1.682756,3565.9792,0.336152,0.919303,12837525.1702
6000,8,15689764.7834,0.0000,0.4000,2614.9608,2615.3608,1.669485,3594.3224,0.296384,0.929528,12939560.7122
6000,9,15704794.4249,0.0000,0.4000,2617.4657,2617.8657,1.651361,3633.7670,0.283629,0.919915,13081561.2125
6000,10,15476517.2506,0.0000,0.4000,2579.4195,2579.8195,1.685779,3559.5848,0.289234,0.925710,12814505.4535
