Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
1000,1,945953.0443,0.0000,0.4000,945.9530,946.3530,0.123463,8099.9635,0.955744,0.552768,29159868.4932
1000,2,979111.4598,0.0000,0.4000,979.1115,979.5115,0.119613,8360.6962,0.920921,0.539815,30098506.4847
1000,3,979366.7808,0.0000,0.4000,979.3668,979.7668,0.122698,8150.4996,0.942724,0.552863,29341798.6921
1000,4,968601.0853,0.0000,0.4000,968.6011,969.0011,0.122456,8166.5949,0.923721,0.543979,29399741.5563
1000,5,968442.2553,0.0000,0.4000,968.4423,968.8423,0.117767,8491.7413,0.933035,0.532317,30570268.6836
1000,6,941136.8470,0.0000,0.4000,941.1368,941.5368,0.121773,8212.3868,0.938021,0.534802,29564592.5132
1000,7,949235.9275,0.0000,0.4000,949.2359,949.6359,0.124391,8039.5813,0.942401,0.549382,28942492.6311
1000,8,967961.0019,0.0000,0.4000,967.9610,968.3610,0.120977,8266.4637,0.934917,0.544540,29759269.1810
1000,9,960976.9975,0.0000,0.4000,960.9770,961.3770,0.113238,8831.3803,0.951398,0.509971,31792968.9562
1000,10,949131.6490,0.0000,0.4000,949.1316,949.5316,0.113209,8833.5981,0.950967,0.502580,31800953.1431
