Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
10000,1,43323659.9657,0.0000,0.4000,4332.3660,4332.7660,1.545097,6472.4870,0.121140,0.856604,23300953.1750
10000,2,43610857.7369,0.0000,0.4000,4361.0858,4361.4858,1.547728,6461.4816,0.168241,0.864931,23261333.6771
10000,3,43573668.6848,0.0000,0.4000,4357.3669,4357.7669,1.584029,6313.4156,0.136145,0.883818,22728296.2340
10000,4,42952578.5504,0.0000,0.4000,4295.2579,4295.6579,1.580180,6328.7950,0.113591,0.869216,22783661.8277
10000,5,43762106.3539,0.0000,0.4000,4376.2106,4376.6106,1.561195,6405.7485,0.130314,0.873823,23060694.7310
10000,6,42491251.9458,0.0000,0.4000,4249.1252,4249.5252,1.586681,6302.8655,0.129602,0.862879,22690315.7342
10000,7,42705027.5962,0.0000,0.4000,4270.5028,4270.9028,1.555693,6428.4030,0.146076,0.850805,23142250.8748
10000,8,43483698.8179,0.0000,0.4000,4348.3699,4348.7699,1.630751,6132.5447,0.128103,0.908941,22077160.9026
10000,9,43531433.5961,0.0000,0.4000,4353.1434,4353.5434,1.583810,6314.2897,0.120355,0.883236,22731443.0790
10000,10,42936770.7164,0.0000,0.4000,4293.6771,4294.0771,1.571879,6362.2139,0.135089,0.864096,22903969.9862
