Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
2000,1,3517712.5459,0.0000,0.4000,1758.8563,1759.2563,0.079033,25306.3442,0.948225,0.354587,91102839.2743
2000,2,3597739.3215,0.0000,0.4000,1798.8697,1799.2697,0.076243,26232.2447,0.942383,0.344809,94436081.0902
2000,3,3491747.1847,0.0000,0.4000,1745.8736,1746.2736,0.096980,20623.2449,0.853908,0.437898,74243681.6659
2000,4,3585380.9085,0.0000,0.4000,1792.6905,1793.0905,0.078174,25584.2851,0.923318,0.347998,92103426.3342
2000,5,3555652.6902,0.0000,0.4000,1777.8263,1778.2263,0.094094,21255.6625,0.888594,0.426208,76520384.9969
2000,6,3546223.6735,0.0000,0.4000,1773.1118,1773.5118,0.081612,24506.5182,0.913986,0.359176,88223465.6138
2000,7,3537891.4842,0.0000,0.4000,1768.9457,1769.3457,0.062158,32176.4229,0.938990,0.275103,115835122.5254
2000,8,3579186.0935,0.0000,0.4000,1789.5930,1789.9930,0.089117,22442.7709,0.920286,0.401977,80793975.0757
2000,9,3644206.1708,0.0000,0.4000,1822.1031,1822.5031,0.086443,23137.0680,0.904255,0.390117,83293444.8815
2000,10,3497430.2268,0.0000,0.4000,1748.7151,1749.1151,0.108211,18482.7690,0.924416,0.481401,66537968.5425
