Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
SDSC,1,10759129.3498,0.0000,0.4000,3781.7678,3782.1678,0.092899,30625.1175,0.736089,0.786726,110250423.0637
SDSC,2,10720334.7572,0.0000,0.4000,3768.1317,3768.5317,0.090964,31276.6515,0.598442,0.776503,112595945.4181
SDSC,3,10699836.0395,0.0000,0.4000,3760.9266,3761.3266,0.092828,30648.4177,0.642491,0.791169,110334303.6699
SDSC,4,10524608.2128,0.0000,0.4000,3699.3350,3699.7350,0.095989,29639.3640,0.640589,0.806547,106701710.2264
SDSC,5,10822841.3248,0.0000,0.4000,3804.1622,3804.5622,0.094519,30100.1924,0.772042,0.808117,108360692.6575
SDSC,6,10548109.6300,0.0000,0.4000,3707.5957,3707.9957,0.096372,29521.3407,0.633452,0.800575,106276826.4098
SDSC,7,10482662.3491,0.0000,0.4000,3684.5913,3684.9913,0.094345,30155.8356,0.547469,0.788156,108561008.0750
SDSC,8,10809636.0312,0.0000,0.4000,3799.5206,3799.9206,0.093372,30469.8247,0.673647,0.794979,109691368.8114
SDSC,9,10880163.2285,0.0000,0.4000,3824.3104,3824.7104,0.089717,31711.1891,0.744508,0.764255,114160280.6748
SDSC,10,10798874.5995,0.0000,0.4000,3795.7380,3796.1380,0.095384,29827.2949,0.805512,0.800952,107378261.5564
