Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
10000\,1,43257841.1445,0.0000,0.4000,4325.7841,4326.1841,1.686297,5930.5520,0.323855,0.934886,21349987.2315
10000\,2,43593521.0133,0.0000,0.4000,4359.3521,4359.7521,1.692344,5909.3643,0.221087,0.945747,21273711.5840
10000\,3,43512734.9903,0.0000,0.4000,4351.2735,4351.6735,1.682644,5943.4280,0.284373,0.938841,21396340.9164
10000\,4,42931874.6966,0.0000,0.4000,4293.1875,4293.5875,1.701186,5878.6509,0.243878,0.935779,21163143.3308
10000\,5,43799201.1652,0.0000,0.4000,4379.9201,4380.3201,1.655677,6040.2268,0.292471,0.926705,21744816.4107
10000\,6,42454010.3120,0.0000,0.4000,4245.4010,4245.8010,1.704610,5866.8449,0.248093,0.927012,21120641.6145
10000\,7,42645509.8699,0.0000,0.4000,4264.5510,4264.9510,1.716575,5825.9551,0.223863,0.938791,20973438.4618
10000\,8,43447109.8413,0.0000,0.4000,4344.7110,4345.1110,1.702492,5874.1430,0.220736,0.948928,21146914.9633
10000\,9,43501896.3800,0.0000,0.4000,4350.1896,4350.5896,1.679468,5954.6654,0.205134,0.936582,21436795.4364
10000\,10,42908085.7775,0.0000,0.4000,4290.8086,4291.2086,1.696031,5896.5204,0.237660,0.932345,21227473.3666
