Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
5000,1,20711560.9107,0.0000,0.4000,4142.3122,4142.7122,0.180389,27718.2329,0.633141,0.811799,99785638.4348
5000,2,20921771.3266,0.0000,0.4000,4184.3543,4184.7543,0.168491,29675.5349,0.619955,0.764324,106831925.7043
5000,3,20807199.1433,0.0000,0.4000,4161.4398,4161.8398,0.172722,28948.6405,0.696881,0.782278,104215105.7129
5000,4,20554487.7940,0.0000,0.4000,4110.8976,4111.2976,0.173612,28800.2558,0.663685,0.775201,103680920.9965
5000,5,20895067.6232,0.0000,0.4000,4179.0135,4179.4135,0.173162,28875.1632,0.557146,0.786740,103950587.3697
5000,6,20329398.4429,0.0000,0.4000,4065.8797,4066.2797,0.180710,27669.0684,0.609126,0.797730,99608646.2025
5000,7,20295758.1711,0.0000,0.4000,4059.1516,4059.5516,0.174707,28619.7673,0.678159,0.775585,103031162.4220
5000,8,20878558.2054,0.0000,0.4000,4175.7116,4176.1116,0.172713,28950.0826,0.812076,0.781426,104220297.5103
5000,9,20789013.4635,0.0000,0.4000,4157.8027,4158.2027,0.176731,28292.0339,0.718802,0.800017,101851322.0188
5000,10,20479156.8509,0.0000,0.4000,4095.8314,4096.2314,0.178737,27974.4858,0.615053,0.797573,100708148.7210
