Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
SDSC,1,11317999.4192,0.0000,0.4000,3978.2072,3978.6072,0.048883,58200.4885,0.813941,0.413973,209521758.7203
SDSC,2,11288950.5390,0.0000,0.4000,3967.9967,3968.3967,0.063794,44596.8095,0.826993,0.544576,160548514.2348
SDSC,3,11054307.2703,0.0000,0.4000,3885.5210,3885.9210,0.073828,38535.6914,0.824389,0.629235,138728488.8874
SDSC,4,11125485.2780,0.0000,0.4000,3910.5396,3910.9396,0.066729,42635.4258,0.767143,0.560694,153487532.7255
SDSC,5,11325646.3330,0.0000,0.4000,3980.8950,3981.2950,0.070454,40381.4111,0.808348,0.602366,145373079.8151
SDSC,6,10916589.2051,0.0000,0.4000,3837.1140,3837.5140,0.064629,44020.8178,0.768060,0.536881,158474943.9939
SDSC,7,10958868.3885,0.0000,0.4000,3851.9748,3852.3748,0.057269,49678.5526,0.898519,0.478423,178842789.5327
SDSC,8,11368006.4435,0.0000,0.4000,3995.7843,3996.1843,0.061126,46543.5427,0.881879,0.520432,167556753.6412
SDSC,9,10988507.3872,0.0000,0.4000,3862.3928,3862.7928,0.075506,37679.2812,0.791492,0.643202,135645412.2846
SDSC,10,11071133.8267,0.0000,0.4000,3891.4354,3891.8354,0.058215,48870.9088,0.782488,0.488841,175935271.5158
