Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
5000,1,10805240.6317,0.0000,0.4000,2161.0481,2161.4481,1.580551,3163.8538,0.219950,0.873620,11389873.8345
5000,2,10881491.8344,0.0000,0.4000,2176.2984,2176.6984,1.580748,3163.4586,0.165951,0.880722,11388451.0987
5000,3,10887619.2713,0.0000,0.4000,2177.5239,2177.9239,1.501576,3330.2348,0.201591,0.835289,11988845.1860
5000,4,10724948.3615,0.0000,0.4000,2144.9897,2145.3897,1.549149,3227.9783,0.205261,0.849580,11620722.0444
5000,5,10916852.5327,0.0000,0.4000,2183.3705,2183.7705,1.557257,3211.1734,0.161466,0.868993,11560224.1717
5000,6,10606088.1767,0.0000,0.4000,2121.2176,2121.6176,1.587462,3150.0823,0.160846,0.860703,11340296.1480
5000,7,10659127.6631,0.0000,0.4000,2131.8255,2132.2255,1.594646,3135.8923,0.165461,0.869481,11289212.1239
5000,8,10859694.1175,0.0000,0.4000,2171.9388,2172.3388,1.581873,3161.2106,0.168047,0.879042,11380358.2635
5000,9,10863201.1951,0.0000,0.4000,2172.6402,2173.0402,1.602417,3120.6856,0.175817,0.890921,11234468.1735
5000,10,10721771.4600,0.0000,0.4000,2144.3543,2144.7543,1.504386,3324.0152,0.174112,0.824502,11966454.6591
