Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
3000,1,7868294.6470,0.0000,0.4000,2622.7649,2623.1649,0.095699,31348.7896,0.894018,0.431576,112855642.5537
3000,2,7904490.7946,0.0000,0.4000,2634.8303,2635.2303,0.097814,30670.7862,0.835582,0.444647,110414830.3383
3000,3,7920293.5000,0.0000,0.4000,2640.0978,2640.4978,0.099299,30212.2601,0.876819,0.450682,108764136.4670
3000,4,7719190.2950,0.0000,0.4000,2573.0634,2573.4634,0.122965,24397.6310,0.844540,0.550210,87831471.6411
3000,5,8029153.7427,0.0000,0.4000,2676.3846,2676.7846,0.084369,35558.4103,0.892270,0.384129,128010277.1022
3000,6,7783794.2723,0.0000,0.4000,2594.5981,2594.9981,0.088028,34080.5898,0.892008,0.389410,122690123.1745
3000,7,7848381.1279,0.0000,0.4000,2616.1270,2616.5270,0.088459,33914.2835,0.920099,0.393529,122091420.7075
3000,8,7828034.3393,0.0000,0.4000,2609.3448,2609.7448,0.087021,34474.6645,0.877393,0.394549,124108792.3527
3000,9,7990660.6923,0.0000,0.4000,2663.5536,2663.9536,0.079405,37781.2009,0.925653,0.360206,136012323.1861
3000,10,7773112.4326,0.0000,0.4000,2591.0375,2591.4375,0.088663,33836.3966,0.902897,0.396472,121811027.5842
